character,dialogue,season,episode 
Bow, It's a tracker pad.  It tracks energy signatures from magic.    It will help me find my friends.,1,06
Baker, Are those little dot thingies your friends?,1,06
Bow, Gonna go with no.,1,06
Entrapta, You're lucky I found you.  I designed the castle as a labyrinth.  I'm the only one who can navigate it.,1,06
Glimmer, Which means you can help us find our friend?,1,06
Entrapta, Absolutely,1,06
She-Ra, Is she sure about that?,1,06
Glimmer," Hi, um, I think we passed this picture already.",1,06
Entrapta," Oh, isn't it cute? You might be right.  I usually have my electronic map to get around.  But, well, like my bots it's sort of evil right now.",1,06
Glimmer," Yeah, about that-",1,06
She-Ra, Why did you invent killer robots?,1,06
Entrapta," You're abnormally tall.  Hello! I like your sword.  It's First One tech, right?  Can I touch it?",1,06
She-Ra," Uh, thank you, yes, and no, not right now.",1,06
Glimmer, About the killer robots?,1,06
Entrapta," They didn't start out that way.  Usually they're super useful.  They do almost everything for me.  Cleaning, filing, basic hygiene.  Oh, and they're sound activated.  Here, I'll show you!",1,06
Glimmer," Uh, can we maybe not do that?",1,06
Entrapta,  Isn't it adorable?,1,06
Entrapta, It's trying to talk!,1,06
Glimmer," Whatever it's saying, I don't think it's good.",1,06
She-Ra, Make it stop.,1,06
Glimmer, Make what stop?,1,06
Entrapta, Bot 329 is attempting to communicate.,1,06
Entrapta," Oh no, bad bot.",1,06
She-Ra, Princess!,1,06
Glimmer, She-Ra!  Stop!,1,06
Baker," Oh, the door won't hold much longer.",1,06
Bow, Almost done.,1,06
Soda Pop, Are you sure about this?,1,06
Baker," Uh, you guys",1,06
Bow, Now!,1,06
Baker, Here goes nothing.,1,06
Soda Pop, Shoot it already.,1,06
Bow," I can't, it's a sonic arrow, it'll draw more bots.",1,06
Busgirl," Is it over?  I did that?  Hey, I did that!",1,06
Bow," Nice work, now let's find my friends!  Come on.",1,06
Glimmer," Adora?  Wake up, please wake up!",1,06
Entrapta, The tall one seems infected too.  She turned less tall. How does it work?,1,06
Glimmer," She's not an it, she's my friend. And what do you mean she's infected too?",1,06
Entrapta, It's really fascinating. I've been experimenting with a disc that was recovered from a mine in Dryl. It was a game-changer. It held more complete First One's code than anything I've ever seen before. But it seems to have reacted with the First Ones tech that powers my bots. It infected them with some sort of a virus.,1,06
Glimmer, But why would it make She-Ra sick?,1,06
Entrapta," Well, I'd have to take her apart to be sure.    But since her sword is First One's tech, it must have spread through that.",1,06
Glimmer," First, you're not taking her apart. She is a PERSON!    Second, if we destroy this disc, will that turn off the bots and stop the virus?",1,06
Entrapta, Destroy it? But the experiment isn't complete!,1,06
Glimmer, I think we can safely say that this experiment is a failure!,1,06
Entrapta," But what if it's not- no, you're right, it's a failure.",1,06
Adora," Glimmer, there's two of you.  That's nice.",1,06
Glimmer, How are you feeling?,1,06
Adora, Just peachy.  Why are we whispering?,1,06
Glimmer, Sound activates the robots.,1,06
Adora, What ROBOTS?,1,06
Glimmer, The ones that are attacking us.,1,06
Adora," Oh, those robots.  Okay, I'm going to take a nap now.",1,06
Glimmer," No no no no, stay awake, we have to go to Entrapta's lab and destroy this disc thing and then you'll be all better again.",1,06
Adora," Better?  I'm fine.  I'm She-Ra.   Hi, Glimmer.",1,06
Glimmer," Come on, we've got to get to your lab.  She's getting worse.",1,06
Entrapta, A-ha!,1,06
Entrapta," Oh, we're here.  I mean, uh, of course we're here.  We were never lost.",1,06
Entrapta," Wow, the door is infected too, it won't let us in.  That is so smart.  And awful.  We're all going to die.",1,06
Glimmer," It's okay, I've got this one.  I'll just teleport into the lab.",1,06
Entrapta," Ooo, teleportation.  How does that work?  Tell me everything.",1,06
Glimmer," Sure, but maybe later, when we're not, like, facing a robot uprising.",1,06
Entrapta, It's a date.,1,06
Glimmer, I'll be right back.,1,06
Adora," Okay, I'm just gonna wait here.",1,06
Glimmer, That was not such a great plan.  The lab is very full of robots.,1,06
Entrapta, How did they look?,1,06
Glimmer, Pretty evil.  I couldn't get anywhere near the disc.,1,06
Bow," No, that's Glimmer teleporting.  I know where Glimmer and Adora are.  Uh oh, that's not good. We have to do something, we have to save them.",1,06
Busgirl," Oh no, sir, no thank you.",1,06
Soda Pop," It's one thing to fight them off out of necessity, but to seek out danger?  It's madness.  Pardon me.",1,06
Baker," Look, they're princesses, they have powers.  I make baked goods.",1,06
Bow," Sure, we don't have powers like the princess, but that never stopped me, and  it doesn't have to stop you.",1,06
Baker," But you're a master archer, we're just ordinary people.",1,06
Bow," I'm a master archer who's out of arrows, but that never stopped me either. You each have a skill that only you can do, even if it doesn't come from some magical jewel.  You say you're just ordinary people, I say you're warriors of the Rebellion!",1,06
Baker, To the Rebellion!,1,06
Entrapta," Incredible development, the bots seem to be working together.",1,06
Glimmer," Right now, I think that's a bad thing.  We need to find another way into the lab.",1,06
Entrapta," The air duct, we can use that.",1,06
Entrapta, I don't suppose you have any other magical powers that could be useful right now?,1,06
Glimmer, I don't have enough energy to teleport us all.  Not without leaving someone's legs behind.,1,06
Entrapta, I'll give up one of mine if you give up one of yours.,1,06
Glimmer, It's Bow!,1,06
Adora," Yay, there's a rainbow!",1,06
Bow, Nice!,1,06
Glimmer, Bow!  You're okay!  I was so worried.,1,06
Bow," Big fan of your work, Princess Entrapta.  Uh, maybe not this work, exactly, but your other work.",1,06
Entrapta, Hi.,1,06
Adora, Hi,1,06
Bow," You okay, Adora?",1,06
Adora," Oh, yeah, sure, I'm totally",1,06
Glimmer," Entrapta was experimenting with First One's tech, and it infected all of her machines with some kind of virus, and She-Ra's sword got infected to and made Adora all, oh, weird. I teleported into the lab and it's full of bots and maybe we She-Ra we'd have a chance, but without her, it's hopeless.",1,06
Bow, We don't need She-Ra.  We can do this together.,1,06
Bow," Okay, where's the disc?",1,06
Entrapta, How fascinating.  It has completed protected itself.,1,06
Bow, We have to find a way to turn it off.,1,06
Adora," Hey, guys, I've found the bots.",1,06
Glimmer, Adora!,1,06
Glimmer, Shhh,1,06
Bow, Glimmer!,1,06
Baker, We'll get your friends.  You two get that disc turned off.,1,06
Bow, Keep 'em busy.,1,06
Busgirl," We got your back, princesses.",1,06
Glimmer," You dumb bots, you're going the wrong way!  Bow, watch out!",1,06
Bow," Uh, why isn't the computer turning off.",1,06
Entrapta,  It's running on its own power now!  That's it.  We need to get outta here and burn this place to the ground.  Experiment officially failed.,1,06
Bow," Wait, I have an idea.",1,06
Bow, Now's your chance sonic arrow!  I believe in you!,1,06
Adora, Where am I?  What's happening?,1,06
Glimmer," Thanks, former tall one, and companions, for saving our lives.  I would be honored to join your Rebellion and provide you with weapons.",1,06
Bow," Thanks, guys. You saved us all back there.  The Rebellion needs regular people now more than ever.",1,06
Busgirl, We are ready.,1,06
Glimmer," So, maybe you had a point before.",1,06
Bow," What?  I'm sorry, I couldn't hear you.",1,06
Adora," I think what Glimmer is trying to say is that you were right, we can't always rely on our powers.",1,06
Bow," Ooohhh, is that what you were trying to say Glimmer?  That I was right?",1,06
Glimmer, Yes.,1,06
Bow, And my sonic arrow was a great idea?,1,06
Glimmer," Yes, it was brilliant, and you were totally right, okay?",1,06
Adora," If you hadn't come, the bots would have gotten us for sure.  And, I didn't know that She-Ra could get sick like that.  What if it happens again?",1,06
Bow," It won't.  We destroyed that evil, She-Ra hating disc.",1,06
Adora," Good, I never want to feel that way again.",1,06
Glimmer," Thanks for saving us, Bow.",1,06
Bow, All in a day's work for Bow and his band of Kitchen Knights! His Baking Brigade! Pastry Patrol!  I'm still working that out.,1,06
Glimmer," Oh, look at that rock just staring at us.      Boy, that rock really needs smashing.  And since She-Ra's not sick anymore, she should probably smash it!",1,06
Adora, A-ha!  What?  it's practise.  For the honor of Grayskull!,1,06
Entrapta," Log.  Day 105.  104?  Eh.    The last experiment hit a few bumps, but it was not a total failure.  I made some important discoveries.  The disc is way more powerful than I ever imagined.    With a few adjustments, I'm sure the next experiment will be a success.",1,06
Shadow Weaver's disembodied voice, Adora,1,07
Bow , Good morning Glimmer.,1,07
Glimmer, Noooo. It's too early. Five more minutes.,1,07
Bow, But it's a beautiful morning.,1,07
Glimmer, Today's cancelled. Go back to bed. I can feel you staring at me. Why is it the one who snores is always the first one to fall asleep?,1,07
Bow," What? I don't snore. Adora, do I snore? Adora?",1,07
Glimmer," Sorry, too early to teleport.",1,07
Bow, What are we looking at?,1,07
Adora, I don't know. I heard a noise in the woods last night. And I thought I saw something.,1,07
Glimmer," What? Like a bunny? Maybe a butterfly? Adora, did you get any sleep at all?",1,07
Adora, Someone has to stand guard.,1,07
Glimmer," Okay, I know you're on edge because of what happened with Entrapta's infected robots, but it's all over now. You've got to relax. You need a vacation. Which is why we're going to Mystacor.",1,07
Bow , Mystacor? No way.,1,07
Adora," Wait, what's Mystacor?",1,07
Glimmer," It's a secret floating kingdom that's home to all of Etheria's sorcerers. It's got tranquil gardens, beautiful beaches and healing springs. And my aunt Castaspella just happens to be the head sorceress there.",1,07
Bow," You'll love it Adora. Plus you won't have to worry about evil things in the woods. Mystacor is protected by an invisibility spell, so evil can't find it.",1,07
Glimmer, It's the safest and most peaceful place in all of Etheria. We'll have you relaxed in no time.,1,07
Adora," You know I've never relaxed in my life, right?",1,07
Bow," Well, we're here to change that. Just wait.",1,07
Catra," Shadow Weaver, you wanted to see me?",1,07
Shadow Weaver, Ah. Force Captain. How kind of you to join me.,1,07
Catra, What's up with you? You're being spookier than usual.,1,07
Shadow Weaver, My shadow spies have found Adora. She's on her way to Mystacor with her new friends. Mystacor. This is going to be too easy.,1,07
Catra, Another Adora mission. Fine. When do I leave?,1,07
Shadow Weaver," The only place you're headed is outside my door to stand guard. I'm going to use my magic to go after Adora myself. You will see that I am not disturbed. Clearly, no one else can be trusted to bring her back to the Horde, least of all you. Now go. I said, go!",1,07
Shadow Weaver," From the farthest reaches of Etheria, I command you, be as one!",1,07
Glimmer, We're here!,1,07
Adora," We're on a cliff, overlooking a thousand foot drop.",1,07
Glimmer," Yes we are, but not for long.",1,07
Glimmer and Bow, Woo-hoo!,1,07
Adora," Uh, guys?",1,07
Bow," C'mon Adora, jump.",1,07
Bow," Oh, ouch. You okay?",1,07
Adora, I'm fine. I thought I saw  I must be stressed.,1,07
Glimmer," Hang in there Adora. Next stop, Mystacor.",1,07
Bow, We rode a flying mountain through clouds. It never gets old.,1,07
Adora," Uh, sure, yea, heh. It was great.",1,07
Glimmer," Just so you know, my aunt Casta can be a lot. But don't worry, I know how to handle her.",1,07
Castaspella, Is that my Glimmer?,1,07
Glimmer," Hi, aunt Casta.",1,07
Castaspella, It's been so long since you've come to visit. And Bow. And who's this?,1,07
Glimmer," This is my friend Adora. She's sometimes and 8 foot tall warrior woman named She-Ra. So, don't get freaked out when it happens.",1,07
Adora, Hi.,1,07
Castaspella," Adora. How nice Glimmer has started making some new friends. We were all so pleased when she started bringing Bow around. I was sure she had made him up at first.  Oh, you've done something to your hair.",1,07
Glimmer," What? Yes, I cut it.",1,07
Castaspella, I can see that. I also see you're not wearing the sweater I knitted for you. Don't you like it?,1,07
Glimmer," Sure, I like it. It's great. It's just... it's a little warm for sweaters right now.",1,07
Castaspella, But you'd tell me if you didn't like it.,1,07
Glimmer," Yes, I'd tell you.",1,07
Bow, I'm wearing the socks you sent me.,1,07
Castaspella," Well, I've always been fond of this one. So, what brings you all the way out here to visit your aunt? Is it once in a blue moon already? ",1,07
Glimmer," We're on a diplomatic mission, Auntie. I'm rebuilding the Princess Alliance and...",1,07
Castaspella," My goodness, you must be starving. I'll have a feast prepared. I'm sure your mother hasn't been feeding you.",1,07
Adora, Wow.,1,07
Castaspella," You've come at the perfect time, there's an eclipse this evening. I'm headed right now to inspect the lunarium for the ceremony. And nothing would make me happier than to give my favorite niece and her friends a tour.",1,07
Glimmer," Uh, Bow and I have had the tour before. And we don't want to get in your way.",1,07
Bow, It's all right Glimmer. Adora hasn't seen it. It'll be fun.,1,07
Castaspella," Oh, well, I guess it's up to Adora then. What do you say my dear?",1,07
Adora," Uh, sure.",1,07
Castaspella," Oh, I like her.",1,07
Adora, Wow.,1,07
Castaspella," The lunar lenses. We use them in the monthly ceremonies to renew Mystacor's magic defenses and keep us shielded from the outside world. You will be coming to the Eclipse Ceremony tonight, won't you?",1,07
Glimmer," Aunt Casta, I've seen the ceremony dozens of times. And we're all really tired from travelling. Maybe we'll skip it this time?",1,07
Castaspella," Nonsense. You're friend Adora hasn't seen it, and it's quite a sight to behold for a newcomer. Besides, don't you want to spend more time with your aunt?",1,07
Glimmer, Of course. But we also really wanted to show Adora the beach.,1,07
Castaspella," Well, if the beach is the only reason you're here, I really shouldn't keep you, should I? I certainly don't want to waste your time.",1,07
Glimmer," Auntie, I didn't mean it that way.",1,07
Bow, Adora.,1,07
Castaspella," Well, someone is enthusiastic. Ah, yes. The hall of sorcerers. These are the Great Ones that led Mystacor through the ages. This is my Micah, my brother. We trained in these very walls together. Glimmer looks just like him you know.",1,07
Glimmer, He had a beard.,1,07
Adora," Wait, Glimmer's dad was your brother?",1,07
Bow," Adora, do you know what aunt means?",1,07
Adora, No. I was just hoping somebody would eventually explain.,1,07
Glimmer," Auntie, we're going to avenge my dad and make sure the Horde never hurts anyone else. Mom believes in us, and in She-Ra.",1,07
Castaspella," Well, if your mother believes, who am I not to? She's an angelic being after all, and I'm just a common sorceress.",1,07
Glimmer," Uhg. Please, not this again.",1,07
Castaspella," She never writes to me you know. I send letters, but do I ever get a reply?",1,07
Adora, What happened to her?,1,07
Castaspella," Light Spinner. A scar on Mystacor's past. She sought power and control above all else, and she was cast out. Although, some say she never really left. That she's only biding her time, waiting to exact her revenge. But those are only children's tales, of course. Anyway, on with the tour. Are you hungry? I've had the dinning room redone since the last time you were here, Glimmer.",1,07
Glimmer, Okay. Aunt Casta's gone to fix us a big dinner and now it's finally beach time.,1,07
Bow, You okay?,1,07
Glimmer," It's worse than we thought. You need warm sand and calming waves, stat.",1,07
Shadow Weaver, It's time for something more.,1,07
Adora," So, we just, like, lie here?",1,07
Glimmer, Absolutely. Letting your cares melt away. Didn't you do something like this to relax in the Horde?,1,07
Adora," Uh, no. We hit things.",1,07
Glimmer," Well, this is so much better. Right Bow?",1,07
Glimmer," Just try it, okay?",1,07
Adora, Okay.,1,07
Adora, Boop.,1,07
Adora, Okay.,1,07
Glimmer," This isn't working for you, is it?",1,07
Adora, No. Can I move now?,1,07
Glimmer," Yes. Clearly we're going to have to take this relaxation thing to the next level. Bow, wake up. ",1,07
Bow, What?,1,07
Glimmer, Come on. We need to show Adora the steam grotto.,1,07
Bow, Whoo! Steam grotto.,1,07
Adora, Wow.,1,07
Bow, Right? Ah. Ooh. Ah.,1,07
Glimmer, These pools are full of magical healing minerals. The sorcerers use them to cleanse themselves of worry and fear before big ceremonies or spells. No just clear your mind. Breathe deeply. Focus on the warmth on your skin. Let your body go perfectly...,1,07
Adora, Ah.,1,07
Shadow Weaver's disembodied voice, Adora.,1,07
Adora," No, no, no, no, no! Help!",1,07
Glimmer, Adora!,1,07
Adora, Shadow Weaver's here. I saw her!,1,07
Bow," Adora, there's no one else here. You brought your sword in here? Are you ok? What happened?",1,07
Adora, Shadow Weaver was here. In the grotto. And she was in in the sorcerers hall too. I saw her shadow on the floor.,1,07
Glimmer, What are you talking about? Who is Shadow Weaver?,1,07
Adora, Shadow Weaver raised me in the Horde. She taught me how to read and tie my boots and how to subvert the enemy and be victorious in battle.,1,07
Glimmer," OK. Sure, mom stuff.",1,07
Adora," No, commanding officer stuff...and mom stuff.",1,07
Glimmer," Adora, she isn't here. She was never here. It's not possible.",1,07
Adora, But you don't know what she's capable of.,1,07
Bow," Sounds like this Shadow Weaver really did a number on you growing up. But you're okay now. You got away from her. Do you wanna try something else? We could get massages, or find you something to hit, if that would work better.",1,07
Adora, No. It's okay. I'm okay. I think I need to be alone. Clear my head.,1,07
Glimmer, You sure?,1,07
Adora, Yea.,1,07
Glimmer, Adora has finally lost it. Did you see her in there? I think she's going nuts.,1,07
Adora," I'm not crazy. I'm, I'm not crazy.",1,07
Adora," You're just a stupid statue. Pull it together Adora, there's no way Shadow Weaver can be here.",1,07
Adora, For the honor of Grayskull!,1,07
Catra's voice," Hey, Adora.",1,07
She-Ra," Catra, where are you? How did you find me here?",1,07
Catra, Nope. Getting colder.,1,07
She-Ra," Whatever you're doing, you won't get away with it. Did Shadow Weaver send you?",1,07
Catra, What do you think? Shadow Weaver controls us both. She always has.,1,07
She-Ra," Catra, wait.",1,07
She-Ra, Catra?,1,07
Hordak," The Horde had high hopes for you, Force Captain. Disappointing. Does the Rebellion truly think you can save them? Nothing can stop the Horde, least of all you.",1,07
She-Ra, Show yourself.,1,07
Hordak," You will lead them all, every Etherian, to their complete and utter annihilation. Nothing will be left of Bright Moon but smoking ruins. Your new friends buried beneath.",1,07
Castaspella, What have you done?,1,07
She-Ra," Uh,sorry. I didn't mean... I thought I just saw...",1,07
Glimmer, Adora!,1,07
Castaspella, Your friend has destroyed a thousand years worth of sacred writings. She could have destroyed the lenses that protect Mystacor.,1,07
Bow, She didn't mean to. Adora would never...,1,07
Castaspella, This is the kind of person you hang around with?,1,07
Glimmer," Auntie, wait.",1,07
Adora, Glimmer.,1,07
Glimmer," It's okay, I'll handle her.",1,07
Bow," The Horde isn't here, Adora. You need to sleep. Promise me you'll try.",1,07
Adora," Okay, I'll try.",1,07
Adora," Glimmer. Look, I'm really sorry about,",1,07
Glimmer," Save it, Adora. How could you do this? I thought you were supposed to be our friend.",1,07
Adora, I am your friend.,1,07
Glimmer, You've ruined everything I've worked for. What kind of friend does that?,1,07
Adora, Glimmer.,1,07
Glimmer, You know what? Maybe you should just go.,1,07
Glimmer, Is Adora coming?,1,07
Bow, I didn't want to wake her up. She needs to sleep.,1,07
Bow," Adora, come on, we have to get out of here now.",1,07
Adora, What's happening.,1,07
Bow, The protection spell is failing. We need to go!,1,07
Adora," Wait, stop. What do you mean failing? Where's Glimmer?",1,07
Bow," Everything that's about to happen is your fault, Adora. You're to blame.",1,07
Shadow Weaver, Adora.,1,07
Adora, Shadow Weaver!,1,07
Shadow Weaver," The eclipse is nearly over Adora. When it is, the shield will be down. The Horde will conquer Mystacor and bring you home to me.",1,07
Adora," No, I'll stop you.",1,07
Shadow Weaver, Why? To help these people? Who are they to you? They don't understand you. Just as they did not understand me when I walked among them as Light Spinner.,1,07
Adora, What?,1,07
Shadow Weaver, They feared my dark power. They'll never accept you. Not like I do.,1,07
Adora," No, no! You're wrong. For the honor of Grayskull!",1,07
Shadow Weaver," You know deep down what I say is true. You are the ambitious, cutthroat, ruthless warrior I raised you to be.",1,07
Adora, No.,1,07
Shadow Weaver, The Princesses don't care about you. They want to use you for your strength. Return now to the Fright Zone. Rule by my side.,1,07
Adora, These are my friends. They've been kind to me. Something you never were.,1,07
Shadow Weaver, I prepared you for greatness!,1,07
Adora," But you never loved me. You just played twisted mind games. I'm none of the things you say I am. I'm not like you. You are bitter and cruel, and you're the one who used me! This is who I am. You hurt my friends, so now you're gonna pay!",1,07
Shadow Weaver, It's too late. The eclipse will be over in moments. Mystacor will fall and it will be your fault.,1,07
Adora, Huh?,1,07
Shadow Weaver," I can give you Etheria. We can rule together. You were nothing before I took you in, Adora. And you will be nothing without me! You're weak!",1,07
Shadow Weaver," Adora, enough of this. Come home.",1,07
Adora, I'm not going back. You have no power over me anymore.,1,07
Shadow Weaver, No!,1,07
Glimmer," Adora, are you okay?",1,07
Adora," I'm okay. Yeah, I think I'm finally okay. She's gone.",1,07
Bow, I'm so sorry we didn't believe you! We've been bad friends.,1,07
Adora," No! You're not. This is what Shadow Weaver does. She manipulates people, she pushes them apart. But it's never going to work on me again. I'm sorry, it's my fault she was here. I endangered Mystacor.",1,07
Castaspella," Nonsense, you saved Mystacor. Glimmer has chosen her friends well. I'll knit you a sweater. What size are you in the shoulders?",1,07
Adora," I'm like, really tired.",1,07
Adora, Glimmer?,1,07
Glimmer," Right here, Adora.",1,07
Catra," Hello? Shadow Weaver?  You've been going about this the wrong way, old woman. If you wanna take down Adora, you have to go for the heart.",1,07
Adora," Uh, hey, guys, I got an invitation to the All Princess Ball, Winter Wonderland. Do you know what this is?",1,08
Bow, Princess Prom! Princess Prom! Princess Prom! We are going to Princess Prom!,1,08
Glimmer, Princess Prom! Princess Prom! Princess Prom! We are going to Princess Prom!,1,08
Adora," Okay, you've gone crazy. I'll just come back later.",1,08
Bow, The ball is a meeting for all the princesses of Etheria.,1,08
Glimmer," And a giant party! Dancing, food, fancy dresses.",1,08
Adora, Dancing?,1,08
Glimmer, It only happens once a decade. I've been waiting years for this!,1,08
Adora," Uh, I'm only a princess sometimes, so are you sure I should even go?",1,08
Glimmer, Of course! Every princess is invited! That includes you!,1,08
Bow, Oh yeah. It's all in the invite.,1,08
Adora, Rules for greeting the hostess. Expected curtsy depth? Proper stair descending etiquette?,1,08
Bow, The ball has been going on for centuries. There's a lot of etiquette stuff you gotta do before you can party.,1,08
Glimmer, It's gonna be so much fun! And Princess Frosta is hosting it this year in the Kingdom of Snows! Her magic is incredibly powerful. She'd be a huge get for The Rebellion!,1,08
Glimmer, Don't worry! I'll be with you and so will Bow 'cause he's going as my plus one!,1,08
Bow, Uh actually--,1,08
Glimmer, It's the best friend squad in action! Right Bow?,1,08
Bow, About that... I'm going with Perfuma.,1,08
Glimmer, What!?,1,08
Catra," I'm sick of this. Shadow Weaver failed to get Adora and if Hordak finds out she'll take us down with her. She's obsessed. We need to think big picture. It's time for someone new to take over. Me. So, you in?",1,08
Scorpia, I'm hanging out in your room! ,1,08
Catra," Unfortunately, you're the only one I can trust around here.",1,08
Scorpia, Because we're best friends.,1,08
Catra," Stop being so you and help me think. I have the beginning of a plan, but it's not enough. I need to capture Adora so Shadow Weaver doesn't demote me. I need to impress Hordak so he'll make me the new Shadow Weaver. How do I do both?",1,08
Scorpia," Why don't you try something at the All-Princess Ball? Every princess is gonna be there, so Adora probably will be too. Ooh! This year's theme is Winter Wonderland.",1,08
Catra, How did you get this?,1,08
Scorpia, They sent it to me. I'm a princess.,1,08
Catra, You're a princess!?,1,08
Scorpia, Yeah. The Horde crash landed in my family's kingdom. We let them stay. My family gave Hordak the Black Garnet.,1,08
Catra, You're a princess?,1,08
Scorpia," I though everyone knew. I mean, it's covered in Force Captain Orientation.",1,08
Catra," I'm beginning to think I shouldn't have skipped that. Okay, so you're a princess, and you're going to a princess ball.",1,08
Scorpia," Oh no. I'm not going. No. No one liked my family, even before we joined The Horde. I never really fit with the other princesses. I made them uncomfortable and they don't like that. They don't like me.",1,08
Catra, And that's exactly why you have to go! How dare they pretend they're better just because you're different! How dare they abandon people just because they don't fit into their perfect little lives!,1,08
Scorpia, Yeah!,1,08
Catra, How dare they take best friends and turn them into giant sword ladies who run off with people clearly inferior to you!,1,08
Scorpia, You're telling my whole life with your words.,1,08
Catra," It's time to show those princesses a thing or two! You're going, I'm coming as your plus one and we'll make this a night no one will ever forget!",1,08
Scorpia, Super Pal Duo is going to prom!,1,08
Bow, I didn't think it would be a big deal.,1,08
Glimmer, It's not. It's fine. I'm just surprised. When did you two even talk about it?,1,08
Bow," Oh, she was super slick.",1,08
Perfuma, Wanna go to the ball with me?,1,08
Bow, Okay!,1,08
Glimmer, That's super slick?,1,08
Bow," I thought it'd be fun. And besides, Perfuma's cool, right?",1,08
Glimmer," She's fine. But we always go to events together. We have our whole routine. We wear matching outfits, share inside jokes and eat ice cream afterwards. It's our thing.",1,08
Bow," Well, there's nothing wrong with a new thing. I gotta get ready. We'll hang out there, okay?",1,08
Glimmer, But I liked our old thing.,1,08
Adora," Glimmer! Good. No time to waste!  I think advance prep will be key to success. I've divided the rules into base parts. Dance rules, etiquette rules, rules for greeting the hostess.  I'm familiarizing myself with targets. Ask me anything.",1,08
Glimmer, Princess Frosta.,1,08
Adora," Ruler of The Kingdom of Snows, has the biggest kingdom outside of Bright Moon, neutral in the fight against the Horde. Allies with the Star Sisters who are friends with Mermista, but no Sweet Bee who is dating Peekablue as you can tell by the string. Up means friends, down means frenemies. And I made an obstacle course! I'm feeling good! I'm prepared for any and all scenarios. I am so ready for this ball.",1,08
Glimmer, Great! What are you wearing?,1,08
Adora," I was just gonna go as She-Ra. I mean, she has better hair.",1,08
Glimmer," Well, you can't go as She-Ra. They have a strict no weapons rule. Neutral ground and all. So, you'll have to leave your sword at the door.",1,08
Adora," Ugh, how are there more parts to this invite?",1,08
Glimmer,  You know what this means?,1,08
Adora, That clothes don't matter and I should keep on studying?,1,08
Glimmer, It's makeover time!!,1,08
Adora, Be careful and don't just lean it somewhere and don't keep it with the other swords or it might get confused!,1,08
Glimmer," Adora, c'mon!",1,08
Adora, Whoa. Heh. It's big.,1,08
Glimmer," The ball is an ancient tradition. A princess' first ball is a huge rite if passage. Plus, the Kingdom of Snows is really big.",1,08
Adora," Which is why we need Frosta. If she joins us, the other princesses are sure to follow.",1,08
Adora,"  Here we go. Hold for one, two and three. That's Frosta? But she's like, 10!",1,08
Frosta, I'm eleven and three quarters.,1,08
Glimmer," Revered hostess, we come under the ancient rules of hospitality, bringing greetings from Bright Moon. And She-Ra, the legendary warrior.",1,08
Frosta, You are welcome under the ancient rules of hospitality. Leave conflict at the door and please enjoy the ball.,1,08
Adora, Thank you your--  majesty. Couldn't have mentioned that she was a little kid?,1,08
Glimmer," You did all that research. I assumed you knew. You know what? It's fine.There's plenty of time to win her over. Come one, let's rock this ball!",1,08
Adora, Oh! There's Entrapta! Heh.,1,08
Entrapta, Adora! Glimmer! Are you here for the social experiment too?,1,08
Adora, Social experiment?,1,08
Entrapta, Different groups are forced to mingle. Hierarchies form and break. It's the perfect place to observe behavior. And they have tiny food! Where's Bow? I wanna show him my new recorder.,1,08
Glimmer, He's coming later.,1,08
Entrapta, Didn't he come with you? Aren't you two friends?,1,08
Glimmer, Why would you think we're not?,1,08
Entrapta, There he is! bow!,1,08
Glimmer, They're matching. That's out best friend thing!,1,08
Entrapta, Feelings seem to be getting hurt.,1,08
Mermista," Hey, I'm here too. Don't make a big thing out of it.",1,08
Glimmer, They're making up their own inside jokes? What? Is Perfuma his new best friend now?,1,08
Mermista, Not gonna get into whatever is happening there.,1,08
Entrapta, People walking around in circles.,1,08
Mermista," Or that. Look, have you seen--",1,08
Sea hawk,"  She's a beauty can't you see? She's attending this with me! She's my princess of the sea! Mermista!  Oh hey, it's my crew.",1,08
Adora," So, Sea Hawk's your plus one?",1,08
Mermista," No. He is just my ride. Just. My. Ride,",1,08
Sea Hawk,  Of course.  I am her plus one.,1,08
Entrapta, This is the best social experiment I've ever been to!,1,08
Mermista, Whatever. Do they have a kelp bar here?,1,08
Sea Hawk," To the buffet! Adventu-- Oh hi, Bow.",1,08
Adora, Hey--,1,08
Glimmer,"  That's so funny, Adora! What a funny inside joke the two of us just came up with!",1,08
Perfuma," The She-Ra, Glimmer. It's great to see you.",1,08
Bow, Perfuma was just telling me about a winged horse that ate all the apples in Plumeria and then flew away. Sound familiar?,1,08
Glimmer," Sure. Isn't this fun? Adora and I are having such a good time together, just the two of us. Right, Adora?",1,08
Bow," Okay. Uh, we're gonna go say hi to people. Wanna come?",1,08
Glimmer," No, you guys go on. We'll find you later. I wanna hear the rest of this funny story that Adora was just telling!",1,08
Adora, Perfect. Frosta's alone. I'm gonna try and go smooth things over with her. Coming?  Never mind. I'll be right back.,1,08
Adora, Revered hostess. I've come to apologize for earlier. I was so rude.,1,08
Frosta," Yes, you were. But as you're only an honorary princess, you can't be expected to know better.",1,08
Adora, Your kingdom is truly beautiful Princess Frosta. I'm honored to be here.,1,08
Frosta," Thank you. Now, I expect you're going to ask me to join your Rebellion?",1,08
Adora, You know about that?,1,08
Frosta, Of course I do. Princesses talk you know? The snow peas and the cookies are touching. Do it right.,1,08
Adora," Princess Frosta, the Rebellion needs you. Your kingdom is powerful. Your alliance could be the key to defeating the Horde.",1,08
